Country,Total_Cases,Deaths,Recovered,Active_Cases,New_Cases,New_Deaths
United States,804759,43995,81810,678954,12000,1481
Spain,204178,21282,82514,100382,3968,430
Italy,183957,24648,51600,107709,2729,534
France,158050,20796,39181,98073,2667,531
Germany,148024,4948,95200,47876,959,86
United Kingdom,129044,17337,0,111363,4301,828
Turkey,95591,2259,14918,78414,4611,119
Iran,84802,5297,60965,18540,1297,88
China,82758,4632,77123,1003,11,0
Russia,52763,456,3873,48434,5642,51
Belgium,40956,5998,9002,25956,973,170
Brazil,40814,2588,22991,15235,71,1
Canada,38205,1831,12586,23788,1376,141
Netherlands,34134,3916,0,29968,729,165
Switzerland,28063,1478,19400,7185,119,49
Portugal,21379,762,917,19700,516,27
India,18985,603,3273,15109,446,11
Peru,17837,484,6982,10371,1512,39
Ireland,16040,730,9233,6077,388,43
Sweden,15322,1765,550,13007,545,185
Austria,14873,491,10971,3411,78,21
Israel,13942,184,4507,9251,229,7
Saudi Arabia,11631,109,1640,9882,1147,6
Japan,11135,263,1239,9633,0,0
Chile,10832,147,4969,5716,325,8
S. Korea,10683,237,8213,2233,9,1
Ecuador,10398,520,1207,8671,270,13
Poland,9856,401,1297,8158,263,21
Pakistan,9565,201,2073,7291,673,25
Romania,9242,498,2153,6591,306,20
Singapore,9125,11,839,8275,1111,0
Mexico,8772,712,2627,5433,511,26
United Arab Emirates,7755,46,1443,6266,490,3
Denmark,7695,370,4700,2625,180,6
Norway,7191,182,32,6977,35,1
Indonesia,7135,616,842,5677,375,26
Czechia,6961,201,1753,5007,61,7
Serbia,6890,130,977,5783,260,5
Belarus,6723,55,577,6091,459,4
Australia,6645,71,4685,1889,20,0
Philippines,6599,437,654,5508,140,9
Qatar,6533,9,614,5910,518,0
Ukraine,6125,161,367,5597,415,10
Malaysia,5482,92,3349,2041,57,3
Dominican Republic,5044,245,463,4336,80,10
Panama,4658,136,204,4318,191,10
Finland,4014,141,2000,1873,146,43
Colombia,3977,189,804,2984,0,0
Luxembourg,3618,78,670,2870,60,3
Egypt,3490,264,870,2356,157,14
South Africa,3465,58,1055,2352,165,0
Bangladesh,3382,110,87,3185,434,9
Morocco,3209,145,393,2671,163,2
Argentina,3031,147,840,2044,0,5
Algeria,2811,392,1152,1267,93,8
Thailand,2811,48,2108,655,19,1
Moldova,2614,72,505,2037,66,2
Greece,2401,121,577,1703,156,5
Hungary,2098,213,287,1598,114,14
Kuwait,2080,11,412,1657,85,2
Kazakhstan,1995,19,489,1487,143,0
Bahrain,1973,7,784,1182,66,0
Croatia,1908,48,801,1059,27,1
Iceland,1778,10,1417,351,5,0
Uzbekistan,1678,6,357,1315,51,1
Iraq,1602,83,1096,423,28,1
Estonia,1552,43,169,1340,17,3
Oman,1508,8,238,1262,98,1
Azerbaijan,1480,20,865,595,44,1
New Zealand,1445,13,1006,426,5,1
Armenia,1401,24,609,768,62,2
Lithuania,1350,38,298,1014,24,1
Slovenia,1344,77,197,1070,9,0
Bosnia and Herzegovina,1342,51,437,854,33,2
North Macedonia,1231,55,224,952,6,1
Slovakia,1199,14,258,927,26,1
Cameroon,1163,43,329,791,0,1
Cuba,1137,38,309,790,50,2
Afghanistan,1092,36,150,906,66,0
Ghana,1042,9,99,934,0,0
Hong Kong,1030,4,650,376,4,0
Bulgaria,975,45,170,760,46,2
Djibouti,945,2,112,831,99,0
Tunisia,884,38,148,698,0,0
Ivory Coast,879,10,287,582,0,0
Cyprus,784,12,98,674,12,0
Latvia,748,9,133,606,9,4
,721,15,644,62,0,0
Andorra,717,37,282,398,0,0
Diamond Princess,712,13,644,55,0,0
Guinea,688,6,127,555,66,1
Lebanon,677,21,103,553,0,0
Nigeria,665,22,188,455,0,0
Costa Rica,662,6,124,532,0,0
Niger,655,20,124,511,7,0
Albania,609,26,345,238,25,0
Burkina Faso,600,38,362,200,19,0
Bolivia,598,34,37,527,34,1
