Country,Total_Cases,Deaths,Recovered,Active_Cases
United States,740151,39068,68456,632627
Spain,195944,20453,77357,98134
Italy,175925,23227,44927,107771
France,151793,19323,35983,96487
Germany,144348,4547,88000,51801
United Kingdom,120067,16060,0,103663
China,82735,4632,77062,1041
Turkey,82329,1890,10453,69986
Iran,82211,5118,57023,20070
Russia,42853,361,3291,39201
Belgium,38496,5683,8757,24056
Brazil,36925,2372,14026,20527
Canada,33383,1470,11207,20706
Netherlands,32655,3684,250,28721
Switzerland,27740,1381,17100,9259
Portugal,20206,714,610,18882
India,16365,521,2466,13378
Ireland,14758,571,77,14110
Austria,14696,443,10501,3752
Peru,14420,348,6684,7388
Sweden,14385,1540,550,12295
Israel,13362,171,3564,9627
South Korea,10661,234,8042,2385
Japan,10296,222,1069,9005
Chile,9730,126,4035,5569
Saudi Arabia,9362,97,1398,7867
Poland,9082,350,1040,7692
Ecuador,9022,456,1008,7558
Romania,8746,434,1892,6420
Pakistan,7993,159,1868,5966
Mexico,7497,650,2627,4220
Denmark,7384,355,4141,2888
Norway,7078,165,32,6881
United Arab Emirates,6781,41,1286,5454
Czechia,6657,181,1235,5241
Australia,6606,70,4230,2306
Singapore,6588,11,740,5837
Indonesia,6575,582,686,5307
Serbia,6318,122,753,5443
Philippines,6259,409,572,5278
Ukraine,5449,141,347,4961
Qatar,5448,8,518,4922
Malaysia,5389,89,3197,2103
Belarus,4779,45,342,4392
Dominican Republic,4335,217,312,3806
Panama,4273,120,140,4013
Finland,3783,94,1700,1989
Colombia,3621,166,691,2764
Luxembourg,3537,72,601,2864
South Africa,3034,52,903,2079
Egypt,3032,224,701,2107
Argentina,2839,132,709,1998
Morocco,2820,138,322,2360
Thailand,2765,47,1928,790
Algeria,2534,367,894,1273
Bangladesh,2456,91,75,2290
Moldova,2351,62,457,1832
Greece,2235,110,269,1856
Hungary,1916,189,250,1477
Kuwait,1915,7,305,1603
Bahrain,1873,7,759,1107
Croatia,1871,47,709,1115
Iceland,1760,9,1291,460
Kazakhstan,1676,17,400,1259
Uzbekistan,1543,5,225,1313
Estonia,1528,40,164,1324
Iraq,1513,82,953,478
New Zealand,1431,12,912,507
Azerbaijan,1398,19,712,667
Slovenia,1330,74,192,1064
Lithuania,1298,35,242,1021
Armenia,1291,20,545,726
Bosnia and Herzegovina,1285,48,347,890
Oman,1266,7,233,1026
North Macedonia,1207,51,179,977
Slovakia,1161,12,229,920
Hong Kong,1026,4,602,420
Cameroon,1017,42,305,670
Afghanistan,993,32,131,830
Cuba,986,32,227,727
Bulgaria,884,42,161,681
Tunisia,866,37,43,786
Ghana,834,9,99,726
Ivory Coast,801,8,239,554
Cyprus,761,12,79,670
Djibouti,732,2,76,654
Latvia,727,5,88,634
,721,15,644,62
Diamond Princess,712,13,644,55
Andorra,704,35,205,464
Lebanon,673,21,99,553
Costa Rica,655,4,97,554
Niger,639,19,113,507
Burkina Faso,565,36,321,208
Albania,562,26,314,222
Kyrgyzstan,554,5,133,416
Nigeria,542,19,166,357
Bolivia,520,32,31,457
